FESTIVAL,Location (State),Month,Description,image_path
Navreh,Kashmir,March,"<b>Navreh ayi, nayi roshni lai, Har dil khush rahe, ghar mein sukh suhai.</b><br>Kashmiri Pandit New Year observed with rituals and prayers to Goddess Sharika; unique to Kashmiri Pandit community.","https://staticimg.amarujala.com/assets/images/2022/04/01/navreh-festival-2022_1648808263.jpeg"
Mehndi Festival,Kashmir,April,"<b>Mehndi lagai hatho, rangin ho rang birangi, Khushiyan laaye saath mein, ban jaaye din rangangi.</b><br>Traditional spring festival involving henna application and folk songs, unique to Kashmiri Pandit culture.","https://ramkumarmehandi.com/wp-content/uploads/2022/09/20-most-beautiful-mehndi-designs-for-festivals.jpg"
Harnai Festival,Kashmir,January,"<b>Thand vich gungunahat, Harnai di mehak, Gayan te nachan naal, jindagi vich rang chad.</b><br>Winter folk festival specific to Kashmir celebrating local culture through traditional music and dances.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv-HvOJIqLIGY9YKz2kxhcGapTDSOz4tzVFQ&s"
Urs Festival,Kashmir,September,"<b>Rooh di awaaz hai, Urs di raat hai, Qawwali di mehfil vich, sab nu baat hai.</b><br>Sufi saint commemorative festival held at shrines like Hazratbal, distinct to Kashmir's Sufi heritage.","https://static2.tripoto.com/media/filter/tst/img/464126/TripDocument/1535955030_1056369_dargah_sharif_ajmer.jpg.webp"
Mela Sufi,Kashmir,October,"<b>Sufi di mehfil sajdi, dilaan nu bhaandi, Mehfil vich jashan manaiye, ishq di chaandi.</b><br>Sufi shrine festival unique to Kashmir involving devotional qawwali and community feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_rWs4TLXw-z6ZFcLgqIjPR6lW8Agnm74nFw&s"
Lal Ded Mela,Kashmir,October,"<b>Lal Ded di vani vich, ruh di shanti mile, Kavita di roshni naal, dard bhi khil jaye.</b><br>Cultural-spiritual festival honoring Lal Ded, the mystic poetess, celebrated only in Kashmir.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_i3IEhZspEOMFvg8S3jC5JC733Q2AZtO3MA&s"
Amarnath Yatra,PAN India,July,"<b>Amarnath di yatra vich, shraddha di baat hai, Har man di manzil vich, shanti di saath hai.</b><br>Hindu pilgrimage to the Amarnath cave in Kashmir, a religious event unique to the region attracting devotees nationwide.","https://d3lzcn6mbbadaf.cloudfront.net/media/details/Amarnath2022081609141020220816184011.jpg"
Losar,Himachal Pradesh,February,"<b>Losar da din aaya, nayi roshni layi, Shanti te khushi naal, jeevan sajaya jai.</b><br>Tibetan Buddhist New Year celebrated mainly in Ladakh and Himachal Pradesh, unique to Himalayan Buddhist culture.","https://www.lchangnang.com/blog/wp-content/uploads/2023/11/Losar-Festival.webp"
Buddha Purnima,PAN India,November,"<b>Buddha di kirpa naal, man vich sukoon hove, Duniya di roshni vich, pyar hi chhaj jave.</b><br>Buddhist festival celebrating birth, enlightenment, and death of Buddha with prayers and feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzLDhkLNS5_2f_ogXDqNENMXZ-Var_C-aApg&s"
Gurpurab,PAN India,November,"<b>Guru Nanak ji da charan, sadi zindagi da raah, Prem naal jeevan vich, mile sadaa saah.</b><br>Sikh festival marking Guru Nanak Dev Ji's birth anniversary, celebrated with prayers and community kitchens.","https://www.livemint.com/lm-img/img/2024/11/12/optimize/ANI-20231126332-0_1701048115735_1731401916725.jpg"
Christmas,PAN India,December,"<b>Christmas di roshni, sab nu khushi de, Prem te shanti naal, ghar sajaye jaaye.</b><br>Christian festival celebrated with church services, decorations, and feasts.","https://static.toiimg.com/photo/msid-104286673/104286673.jpg"
Lohri,PAN India,January,"<b>Sundri mundri hoye, Lohri di raat vich, Chiriyan di chah makhi de naal, Giddha te bhangra paayiye saath.</b><br>Harvest festival celebrated to mark the end of winter and welcome longer days with bonfires, folk songs, dance, and sweets.","https://utsav.gov.in/public/uploads/event_cover_image/event_602/16595155611269959693.jpg"
Baisakhi/Vaisakhi,PAN India,April,"<b>Baisakhi da mela lagda, khetan vich khushiyan jagda, Jatti te Jatt di shaan vich, nachda Punjab sara aan.</b><br>Spring harvest festival marking the Punjabi New Year and Sikh community's foundation of Khalsa in 1699.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEjFJFMPAPn0dYyZB4wQtcRNXSlsKeX7hd_Q&s"
Maghi,Punjab,January,"<b>Maghi aayi, dharti suhani, Sajde ne yaar te jawani.</b><br>Festival commemorating the martyrdom of 40 Sikh warriors; celebrated with fairs, community feasts, and prayers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfT-sSg3MvPp7qwX4DoqmkWaQsgOzePavy2Q&s"
Teej,PAN India,August,"<b>Teej diyan chhaanv'an vich, suhani jhulan lai ke aayi, Sohni te Mahi da pyar, man diyaan gallan samjhai.</b><br>Monsoon festival celebrated by women praying for marital bliss and prosperity, marked by swings, singing, and traditional attire.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsePtaOtoiFbn0pMM8iISY9pRHJ3hF3EydZw&s"
Hola Mohalla,Punjab,March,"<b>Hola Mohalla aaya, Sher Punjab de jithe laya, Gatka te shastar da mela, Sikh virse di pehchaan bhaya.</b><br>Sikh festival featuring martial arts displays, poetry, and community gatherings; initiated by Guru Gobind Singh.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRot_O81ODsVSIDS8X05Eln8CXVnPN8E6CNcQ&s"
Karva Chauth,PAN India,October,"<b>Karva Chauth di raat vich, chann nu vekh ke viyakhan, Sohagan di dua naal, rishte sajde dhan dhan.</b><br>Fasting ritual observed by married women for the long life of their husbands, marked by prayers and moon sighting.","https://resize.indiatvnews.com/en/resize/oldbucket/355_-/mainnational/Spruce_up_for_K18420.jpg"
Holi,PAN India,March,"<b>रंगों का त्योहार है होली, मिल-जुल के मनाएं होली, पुरानी दुश्मनी मिटा के, प्रेम के रंग बिखेरें सभी।</b><br>Festival of colors symbolizing the victory of good over evil, celebrated with vibrant color throwing, music, and dance.","https://cdn.britannica.com/57/244757-131-EBAFDFE0/Hindu-Holi-Festival-Mathura-Uttar-Pradesh-India.jpg"
Gangore,Haryana,April,"<b>गंगोरे की छांव तले, बहनें करें आरती, भाईयों की लंबी उम्र की, करतीं हैं ये प्रार्थना सारी।</b><br>Traditional folk festival mainly in rural Haryana, where unmarried girls pray for the long life of their brothers and future husbands.","https://static.toiimg.com/thumb/msid-63326660,width-1070,height-580,resizemode-75,imgsize-1199088,pt-32,y_pad-40/63326660.jpg"
Janmashtami,PAN India,August,"<b>माखन चोर कृष्ण का जन्मोत्सव, प्रेम और भक्ति से जग सजीव.</b><br>Celebration of Lord Krishna's birth with fasting, night vigils, and devotional songs.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoLdNDo9Q05r_xsCg-Ypt0z3yOuOS9zj4l3g&s"
Surajkund Mela,Haryana,February,"<b>सूरजकुंड का मेला है रंगीन, हस्तशिल्प की सौगात लिए, संस्कृति की शान बढ़ाए, हर दिल को ये खुशी दे।</b><br>Annual crafts fair held near Faridabad showcasing traditional arts, crafts, and cultural performances unique to Haryana.","https://www.shutterstock.com/image-photo/surajkund-faridabad-19-feb-2023-260nw-2264101905.jpg"
Minjar Mela,Himachal Pradesh,July,"<b>मिंजर मेला आया, खुशियों का सैलाब लाया, खेतों की हरियाली और जनता का त्यौहार बताया।</b><br>Harvest festival celebrated in Chamba district marking prosperity and offering thanks to the gods.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTbv7m3seh8QszXVu-ig67Fva5WD7cUpuTAg&s"
Phagli/Fagli,Himachal Pradesh,March,"<b>फागलि के गीत गाओ, बसंती रंग मनाओ, पर्वतों में होली का त्यौहार मनाओ।</b><br>Spring festival welcoming the new season with traditional songs, dances, and bonfires.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz2bTtQxIadO2paivJepP559J5SK8hpSsrcA&s"
Shoolini Mela,Himachal Pradesh,June,"<b>शूलिनी माता की जय बोलो, खुशियों का मेला मनाओ, पर्वतों की छांव तले प्रेम बांटो।</b><br>Festival honoring Goddess Shoolini with processions, fairs, and devotional singing in Solan district.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSehJ0p4EomO9HB4JFc6iykwCXNqygGqfaBIg&s"
Halda,Himachal Pradesh,November,"<b>हलदा के रंग में रंग जाओ, मिट्टी की खुशबू को गाओ, पर्वतों की छांव में त्यौहार मनाओ।</b><br>Festival marking the end of harvest season with folk songs, dances, and rituals.","https://images.tribuneindia.com/cms/gall_content/2017/1/2017_1$largeimg09_Monday_2017_225845955.jpg"
Mandi Shivratri,Himachal Pradesh,February,"<b>शिव की महिमा गाओ, भक्ति के गीत गाओ, मंडी शिवरात्रि में प्रेम मनाओ।</b><br>Celebrated with night-long prayers and cultural fairs dedicated to Lord Shiva in Mandi district.","https://utsav.gov.in/public/uploads/event_cover_image/event_78/1649394573817942343.jpg"
Chaitra Suket Fair,Himachal Pradesh,March,"<b>चैत्र सूकेत मेला सजाओ, देवताओं का आशीर्वाद पाओ।</b><br>Cultural fair celebrating local deities with traditional music, dance, and rituals.","https://c8.alamy.com/comp/2PMH0GM/dhaka-dhaka-bangladesh-13th-apr-2023-hindu-devotees-seen-with-body-painting-and-they-performance-traditional-dance-as-part-of-annual-chaitra-sankranti-folk-festival-charak-puja-in-sreemangal-bangladesh-credit-image-abu-sufian-jewelzuma-press-wire-editorial-usage-only!-not-for-commercial-usage!-2PMH0GM.jpg"
Raksha Bandhan,PAN India,August,"<b>राखी के बंधन में स्नेह का प्यार, बहन-भाई का अनोखा त्यौहार।</b><br>Celebration of sibling bonds where sisters tie rakhi on brothers' wrists and pray for their well-being.","https://www.thestatesman.com/wp-content/uploads/2018/08/Raksha-Bandhan.jpg"
Kumbh Mela,PAN India,January,"<b>स्नान के संग पाप धुलें, कुंभ में हो अमृत बरसें।</b><br>One of the largest religious gatherings in the world, held at Haridwar (Uttarakhand) and Prayagraj (Uttar Pradesh), attracting millions for holy dips in the river.","https://images.theconversation.com/files/642200/original/file-20250114-15-oucsvl.jpg?ixlib=rb-4.1.0&rect=0%2C85%2C4063%2C2031&q=45&auto=format&w=1356&h=668&fit=crop"
Nanda Devi Mela,Uttarakhand,September,"<b>नंदा देवी की माया छाई, पर्वतों में खुशहाली लाई।</b><br>Annual festival honoring Goddess Nanda Devi with rituals, fairs, and cultural programs in the Garhwal region.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnkYITOPbwf2OqgswdzB7svHMcSrp01YqZMQ&s"
Makar Sankranti,PAN India,January,"<b>मकर संक्रांति आई, पतंगों का रंग छाई।</b><br>Harvest festival marked by kite flying, feasts, and prayers for prosperity.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Yhg4ZI_Vto7JsG69EDS61vnRdSOxQVmScA&s"
Phool Dei,Uttarakhand,March,"<b>फूल देई का त्योहार, बसंत की खुशबू लाई बार-बार।</b><br>Spring festival where girls go door-to-door to bless houses with flowers and songs.","https://curlytales.com/wp-content/uploads/2024/03/Cover-Image-14.jpg"
Basant Panchami,PAN India,January,"<b>सरस्वती मां की आरती उतारो, विद्या के दीप जलाओ।</b><br>Festival celebrating Goddess Saraswati, goddess of knowledge, with prayers and cultural activities.","https://static.toiimg.com/photo/62510301.cms"
Ganga Dussehra,PAN India,June,"<b>गंगा माता की पवित्र छाया, पापों को करे हराया।</b><br>Celebrates the descent of the River Ganges to Earth, with holy dips and rituals.","https://blog-content.ixigo.com/wp-content/uploads/2019/06/3f9156be292033b2cae8658358a25310-rtmvw.jpg"
Harela,Uttarakhand,July,"<b>हरेला त्योहार, प्रकृति का उपहार, खेती की खुशहाली का उद्धार।</b><br>Agricultural festival marking the onset of monsoon and new crop sowing, with tree planting and prayers.","https://cdn.shopify.com/s/files/1/0517/1154/1436/articles/PHOTO-2023-07-16-21-42-48.jpg?v=1689527819"
Ram Navami,PAN India,March,"<b>राम नाम का जप लगाओ, जीवन में खुशियाँ लाओ।</b><br>Birth anniversary of Lord Rama celebrated with prayers and recitations of the Ramayana.","https://utsav.gov.in/public/uploads/event_cover_image/event_696/16606495971244913359.jpg"
Diwali,PAN India,November,"<b>दीपों की रौशनी से जगमगाए, अंधकार मिटाए, सुख समृद्धि लाए।</b><br>Festival of lights marking the victory of good over evil, celebrated with lamps, fireworks, and sweets.","https://i.natgeofe.com/n/7e33fdf8-c549-4cc6-99c2-a66bf6cad079/GettyImages-1778646120.jpg"
Eid-ul-Fitr,PAN India,April,"<b>रोज़े की खुशियाँ, ईद की नमाज़ें, दिलों में मोहब्बत की परछाइयां।</b><br>Festival marking the end of Ramadan, celebrated with prayers, feasts, and giving charity.","https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/eid-al-fitr-gettyimages-1148084709?_a=BAVAZGDX0"
Mahavir Jayanti,PAN India,April,"<b>अहिंसा का संदेश फैलाए, महावीर की जय गाए।</b><br>Celebrates the birth of Lord Mahavir, founder of Jainism, with prayers and charitable activities.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF1e_OAjrg-_Uxj7Rv-KOZUZJuFy8GD1-A7g&s"
Navratri,PAN India,September,"<b>गरबा की थाप, नवरात्रि का जोश, हर दिल में उत्सव का मौसाम।</b><br>Nine-night festival celebrating Goddess Durga with traditional Garba and Dandiya dances, vibrant attire, and devotional songs.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFmUAW9KE39wQ9Lz7jlL3anoJoVxSlEoTycw&s"
Rann Utsav,Gujarat,November,"<b>थार की रेत पर रंग बिरंगा मेला, संस्कृति की झलक हर कोना।</b><br>Cultural festival in the Rann of Kutch showcasing folk music, dance, crafts, and local traditions in a desert setting.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7v-R5QwveIXjTk23HBuvDb3TQYfwl2XVRrA&s"
Dussehra,PAN India,October,"<b>रावण दहन की अग्नि में, बुराई का अंत हुआ निश्चित।</b><br>Festival marking the victory of Lord Rama over Ravana, celebrated with processions, effigy burning, and cultural programs.","https://cdndailyexcelsior.b-cdn.net/wp-content/uploads/2024/10/page6-1.jpg"
Sharad Purnima,Gujarat,October,"<b>चाँद की चाँदनी में खुशियाँ छुपाए, शरद पूर्णिमा का त्योहार मनाए।</b><br>Harvest festival celebrated on the full moon night with prayers and night-long celebrations under moonlight.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv4L2imAlkovUn_1-zH4a0bY95_z8ogJSXJQ&s"
Tarnetar Fair,Gujarat,August,"<b>टर्नेटर मेला, रंगीन परिधान, लोक संस्कृति की शान।</b><br>Famous tribal fair known for traditional dance, music, and matchmaking ceremonies held near Surendranagar.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHUM09Lb9DN_C7_huSH1ql__W7mSK8szttZQ&s"
Bhojpur Mela,Madhya Pradesh,November,"<b>भोपाल के संगम पर, मेलों का रंग चढ़ा, संस्कृति की छटा फैली।</b><br>Annual fair near Bhojpur Temple featuring folk dances, music, and religious rituals attracting locals and tourists.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjGnzMxcU-XW8yb-rgnOb8yXsqnf0jLAiEeQ&s"
Khajuraho Dance Festival,Madhya Pradesh,Februrary,"<b>नृत्य की छटा बिखेरती, खजुराहो की रजाई।</b><br>Cultural festival showcasing classical Indian dance forms at Khajuraho temples with spectacular performances.","https://img.theweek.in/content/dam/week/news/sports/2021/February/new-Aruna-Mohanty.jpg"
Rajim Kumbh Mela,Madhya Pradesh,February,"<b>राजिम कुंभ का मेला, धर्म और आस्था का बसेरा।</b><br>Religious festival held at Rajim, involving holy dips, rituals, and cultural events similar to Kumbh Mela.","https://dk3y8l9cftpw0.cloudfront.net/PRD_BansalNews/Rajim-Kumbh-Mela-2025.webp"
Gondwana Festival,Madhya Pradesh,November,"<b>गोंडवाना की संस्कृति में छुपा, त्योहारों का संगम बसा।</b><br>Festival celebrating the culture, art, and heritage of the Gond tribal community with music and dance.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo0F13yc0wx3l7gO2VvW0b_bbjz2qq0_2NGA&s"
Chhath Puja,PAN India,November,"<b>सूरज देवता की आराधना, छठ पूजा का सुहाना मेला।</b><br>Major festival dedicated to the Sun God and Chhathi Maiya, involving rigorous fasting, holy dips, and evening and morning prayers on riverbanks.","https://images.cnbctv18.com/uploads/2021/09/chhath-puja.jpg"
Sama Chakeva,Bihar,November,"<b>भाइयों की छांव तले, बहनों का त्योहार मनाए।</b><br>Folk festival celebrating brother-sister relationships with traditional songs, rituals, and colorful decorations symbolizing the bond of love.","https://utsav.gov.in/public/uploads/event_cover_image/event_721/16607275691889350873.jpg"
Sonepur Mela,Bihar,November,"<b>भारत का सबसे बड़ा मेला, संस्कृति का अनमोल खजाना।</b><br>Asia's largest cattle fair held annually with livestock trading, cultural events, and religious activities.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYygtnYpYp1dOGQijoOziSQPsht6fs0GV0wA&s"
Durga Puja,PAN India,September,"<b>माँ दुर्गा की जयकार, बुरी शक्तियों का संहार।</b><br>Festival celebrating Goddess Durga's victory over evil, with elaborate pandals, rituals, and cultural programs.","https://media.istockphoto.com/id/458583265/photo/goddess-during-durga-puja-celebrations.jpg?s=612x612&w=0&k=20&c=kCudTPmdWpQvvP0tsFt43cPyYoce-XsMYikL1zeAs-I="
Maha Shivaratri,PAN India,March,"<b>शिव शंभु की भक्ति में, रात जागे भक्त जन।</b><br>Night-long festival honoring Lord Shiva with fasting, prayers, and special rituals at temples.","https://media.istockphoto.com/id/1404150323/vector/maha-shivratri-festival-background-vector-illustration.jpg?s=612x612&w=0&k=20&c=0jlGdiarqVap_Q9FnxkOJEaVHvpVYLShj-NCFkvvXvk="
Saraswati Puja,PAN India,January,"<b>ज्ञान और विद्या की देवी का आह्वान।</b><br>Celebration in honor of Goddess Saraswati, marking the start of the academic year with prayers for wisdom and learning.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKwZKrMc7F4EoLyKWNlyzxUIeUWlFabd7zMA&s"
Karma Festival,Jharkhand,August,"<b>करमा के रंग में झूमे गाँव-दीहात, प्रकृति के गीत गाए।</b><br>Tribal festival celebrating nature worship and the Karma tree, featuring folk dances, songs, and community feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLPnlHkOU49rI31kcp946t8l1kBlT4gqe9og&s"
Tusu Festival,Jharkhand,January,"<b>तुसू मेला, खुशियों की बयार, संस्कृति का प्यारा त्योहार।</b><br>Harvest festival celebrated by tribal women with folk songs and dances, marking the end of the agricultural season.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlWXWs1HUN29TG82A38htG10D1h4OH1zNb8g&s"
Sarhul,Jharkhand,March,"<b>सारुल की पूजा में बसा है जीवन, पेड़ों की छाँव में है उत्सव का गीत।</b><br>Tribal New Year and nature worship festival, honoring trees and nature spirits with rituals, dances, and songs.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5uafoEVOsDOmLh5w_E4dMpPZ8Hq1vERZCAQ&s"
Jitia,Jharkhand,August,"<b>माँ की ममता, जतिया के व्रत में झलकती।</b><br>Fasting festival by mothers praying for the long life and health of their children, observed with rituals and prayers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTB65tzIouevSHn1JoLHHFO33DxgijvrA1Pw&s"
Karam Puja,Jharkhand,September,"<b>करमा के पत्तों में छुपा है सांस्कृतिक संग, खुशियों का रंग।</b><br>Worship of Karam tree by tribal communities seeking blessings for good harvest and prosperity.","https://assets.thehansindia.com/h-upload/2023/09/25/1383864-untitled-1.webp"
Guru Nanak Jayanti,Delhi,November,"<b>गुरु नानक की महिमा से भरा, प्रकाश पर्व मनाया।</b><br>Birthday of Guru Nanak Dev Ji, founder of Sikhism, marked with prayers, processions, and community kitchens (Langar).","https://www.livemint.com/lm-img/img/2024/11/12/600x338/ANI-20231126332-0_1701048115735_1731401913577.jpg"
Ganesh Chaturthi,PAN India,August-September,"<b>गणपति बप्पा मोरया, हर दिल में बसे है माया।</b><br>Celebration of Lord Ganesha’s birth with prayers, processions, and immersion of idols.","https://c.ndtvimg.com/2024-09/17mgh5d_ganesh-chaturthi-ani_625x300_07_September_24.jpeg"
Ratha Yatra,Odisha,June-July,"<b>भगवान जगन्नाथ का रथ निकले, श्रद्धा और भक्ति से मन झूले।</b><br>Grand chariot festival in Puri where deities Jagannath, Balabhadra, and Subhadra are pulled through the streets amidst huge crowds and celebrations.","https://pragyata.com/wp-content/uploads/2017/07/The-Ratha-Yatra-Festival-at-Jagannatha-Puri.jpg"
Sambalpur Lok Mahotsav,Odisha,December,"<b>सांस्कृतिक रंगों का संगम, सांबलपुर में उत्सव का आलम।</b><br>Folk festival showcasing tribal dances, music, crafts, and cuisine celebrating Odisha's diverse tribal heritage.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkntmtJpBkrHMZ_1EkpFvBh5DZPyhjAUgOWA&s"
Chhau Dance Festival,Odisha,April,"<b>छाऊ नृत्य की धूम, प्रकृति का संगीत बहुम।</b><br>Traditional masked dance festival blending martial arts and folk traditions, held in Mayurbhanj and neighboring areas.","https://upload.wikimedia.org/wikipedia/commons/1/1d/Chhau_Nritya_%281%29.jpg"
Makar Mela,Odisha,January,"<b>मकर मेला में उमड़े भक्त, उमंगों से भरा हर एक महाक।</b><br>Religious fair held at Lingaraj Temple attracting devotees with rituals, shopping, and cultural events.","https://www.financialexpress.com/wp-content/uploads/2018/01/makar_sankranti_kite_650_pti-1.jpg"
Bali Jatra,Odisha,November,"<b>बाली यात्रा की धूम, नावों से सजी सड़कों में गूंज।</b><br>Festival commemorating ancient maritime trade, featuring boat-shaped stalls, cultural programs, and fairs.","https://vajiram-prod.s3.ap-south-1.amazonaws.com/Baliyatra_abf4340599.jpeg"
Dola Purnima,Odisha,March,"<b>रंगों की बहार, प्रेम के त्यौहार।</b><br>Festival of colors similar to Holi, celebrated with singing, dancing, and processions honoring Lord Krishna.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiAkMW5s3bZA8TaNyeddnpqfoBobWh_v7x3g&s"
Hirakud Festival,Odisha,November,"<b>हिरकुद की महिमा, संस्कृति की जीवंत धारा।</b><br>Festival celebrating the construction and importance of Hirakud Dam with cultural events and fairs.","https://s7ap1.scene7.com/is/image/incredibleindia/marwar-festival-popular?qlt=82&ts=1726639410813"
Nua Khai,Odisha,June-July,"<b>नए अन्न का स्वागत, घर-घर खुशियों का वास।</b><br>Harvest festival where new rice is eaten for the first time of the season, marking gratitude for a good harvest.","https://d18x2uyjeekruj.cloudfront.net/wp-content/uploads/2023/09/nuakhai.jpg"
